TimeOfDay;DayOfYear;BaseTemperature;BaseHumidity;ActualTemperature;ActualHumidity;PrecipChange;PrecipIntensity;PrecipTemperature;PrecipDuration;CloudCover;Fogginess;WindSpeed;WindDirection;Raining;Thundering;Snowing;GRPT;GWPT;GAPT;CRPT;CWPT;CAPT;GRTPT;GWTPT;CRTPT;CWTPT;TPBT;TPT;TPET;AvgAge;AvgAgeNonzero;MaxAge;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.003220454;0.001277273;0.07460909;0.1687592;13.42285;0.254007;0.2501302;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.00311739;0.001232609;0.07138044;0.1614283;12.82662;0.2427245;0.2397978;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.003027082;0.0012;0.06842083;0.1547063;12.2811;0.2324;0.2303681;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.002939999;0.001168;0.06570001;0.1485221;11.78016;0.2229184;0.2219755;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.00082;0.00038;0.06495201;0.1484601;11.50612;0.217888;0.207722;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000816;0.00038;0.06494601;0.1484601;11.50214;0.21761;0.189798;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008180001;0.000376;0.06494601;0.1484581;11.50216;0.2176101;0.190022;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008320002;0.000374;0.06494601;0.1484581;11.4972;0.2176101;0.190164;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008320002;0.0003779999;0.06494601;0.1484581;11.49721;0.2176101;0.190558;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008320002;0.000378;0.06494601;0.1484581;11.49728;0.2176101;0.190746;0.001;1;1;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008220002;0.000414;0.091988;0.1485221;11.52441;0.2481701;0.20677;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008300001;0.0004159999;0.09198201;0.1485221;11.52446;0.2481701;0.206932;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008380001;0.0004119999;0.09198201;0.1485241;11.52447;0.2481701;0.207018;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000838;0.0004059999;0.09198001;0.1485221;11.52449;0.2481721;0.20718;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000832;0.0003659999;0.05692399;0.0002439999;0.06817799;0.2418861;0.049942;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000828;0.0003679999;0.05692599;0.0002439999;0.06821599;0.2418881;0.049754;0.002;1.052632;2;
